"country","year","ggas_cap_water"
"aut","1990",NA
"aut","1991",NA
"aut","1992",NA
"aut","1993",NA
"aut","1994",NA
"aut","1995",NA
"aut","1996",NA
"aut","1997",NA
"aut","1998",NA
"aut","1999",NA
"aut","2000",NA
"aut","2001",NA
"aut","2002",NA
"aut","2003",NA
"aut","2004",NA
"aut","2005",NA
"aut","2006",NA
"aut","2007",NA
"aut","2008",17.09588
"aut","2009",10.94018
"aut","2010",11.47823
"aut","2011",11.13875
"aut","2012",10.39941
"aut","2013",9.80468
"aut","2014",10.88115
"aut","2015",10.91871
"aut","2016",11.35063
"aut","2017",11.89291
"aut","2018",12.68276
"aut","2019",15.34375
"aut","2020",8.51456
"aut","2021",17.20892
"aut","2022",16.49742
"aut","2023",NA
"bel","1990",NA
"bel","1991",NA
"bel","1992",NA
"bel","1993",NA
"bel","1994",NA
"bel","1995",NA
"bel","1996",NA
"bel","1997",NA
"bel","1998",NA
"bel","1999",NA
"bel","2000",NA
"bel","2001",NA
"bel","2002",NA
"bel","2003",NA
"bel","2004",NA
"bel","2005",NA
"bel","2006",NA
"bel","2007",NA
"bel","2008",321.78595
"bel","2009",335.98296
"bel","2010",318.86894
"bel","2011",317.85703
"bel","2012",282.42232
"bel","2013",147.88813
"bel","2014",143.7503
"bel","2015",220.33372
"bel","2016",255.23939
"bel","2017",207.52947
"bel","2018",217.61988
"bel","2019",182.71999
"bel","2020",246.28311
"bel","2021",188.74398
"bel","2022",186.23606
"bel","2023",NA
"bgr","1990",NA
"bgr","1991",NA
"bgr","1992",NA
"bgr","1993",NA
"bgr","1994",NA
"bgr","1995",NA
"bgr","1996",NA
"bgr","1997",NA
"bgr","1998",NA
"bgr","1999",NA
"bgr","2000",NA
"bgr","2001",NA
"bgr","2002",NA
"bgr","2003",NA
"bgr","2004",NA
"bgr","2005",NA
"bgr","2006",NA
"bgr","2007",NA
"bgr","2008",21.35713
"bgr","2009",32.38783
"bgr","2010",19.38934
"bgr","2011",16.41983
"bgr","2012",14.9246
"bgr","2013",17.6513
"bgr","2014",16.2397
"bgr","2015",15.63336
"bgr","2016",18.11365
"bgr","2017",19.88169
"bgr","2018",18.15466
"bgr","2019",19.31838
"bgr","2020",17.7328
"bgr","2021",32.58776
"bgr","2022",29.45435
"bgr","2023",NA
"hrv","1990",NA
"hrv","1991",NA
"hrv","1992",NA
"hrv","1993",NA
"hrv","1994",NA
"hrv","1995",NA
"hrv","1996",NA
"hrv","1997",NA
"hrv","1998",NA
"hrv","1999",NA
"hrv","2000",NA
"hrv","2001",NA
"hrv","2002",NA
"hrv","2003",NA
"hrv","2004",NA
"hrv","2005",NA
"hrv","2006",NA
"hrv","2007",NA
"hrv","2008",122.18923
"hrv","2009",119.11652
"hrv","2010",122.93276
"hrv","2011",122.94427
"hrv","2012",104.93995
"hrv","2013",102.20401
"hrv","2014",101.09743
"hrv","2015",104.92331
"hrv","2016",107.93934
"hrv","2017",110.80641
"hrv","2018",83.03532
"hrv","2019",79.17857
"hrv","2020",65.67173
"hrv","2021",75.82707
"hrv","2022",74.96379
"hrv","2023",NA
"cyp","1990",NA
"cyp","1991",NA
"cyp","1992",NA
"cyp","1993",NA
"cyp","1994",NA
"cyp","1995",NA
"cyp","1996",NA
"cyp","1997",NA
"cyp","1998",NA
"cyp","1999",NA
"cyp","2000",NA
"cyp","2001",NA
"cyp","2002",NA
"cyp","2003",NA
"cyp","2004",NA
"cyp","2005",NA
"cyp","2006",NA
"cyp","2007",NA
"cyp","2008",352.14469
"cyp","2009",366.6569
"cyp","2010",371.38781
"cyp","2011",253.89328
"cyp","2012",139.5517
"cyp","2013",108.12144
"cyp","2014",76.80734
"cyp","2015",56.7494
"cyp","2016",64.17914
"cyp","2017",70.42439
"cyp","2018",66.00424
"cyp","2019",83.27122
"cyp","2020",76.33577
"cyp","2021",74.50974
"cyp","2022",73.68633
"cyp","2023",NA
"cze","1990",NA
"cze","1991",NA
"cze","1992",NA
"cze","1993",NA
"cze","1994",NA
"cze","1995",NA
"cze","1996",NA
"cze","1997",NA
"cze","1998",NA
"cze","1999",NA
"cze","2000",NA
"cze","2001",NA
"cze","2002",NA
"cze","2003",NA
"cze","2004",NA
"cze","2005",NA
"cze","2006",NA
"cze","2007",NA
"cze","2008",4.84622
"cze","2009",4.11022
"cze","2010",3.45435
"cze","2011",3.46231
"cze","2012",3.8953
"cze","2013",1.8249
"cze","2014",1.81776
"cze","2015",2.73371
"cze","2016",3.08449
"cze","2017",2.81359
"cze","2018",2.52398
"cze","2019",4.33963
"cze","2020",4.08661
"cze","2021",4.09918
"cze","2022",4.0887
"cze","2023",NA
"dnk","1990",NA
"dnk","1991",NA
"dnk","1992",NA
"dnk","1993",NA
"dnk","1994",NA
"dnk","1995",NA
"dnk","1996",NA
"dnk","1997",NA
"dnk","1998",NA
"dnk","1999",NA
"dnk","2000",NA
"dnk","2001",NA
"dnk","2002",NA
"dnk","2003",NA
"dnk","2004",NA
"dnk","2005",NA
"dnk","2006",NA
"dnk","2007",NA
"dnk","2008",7740.24335
"dnk","2009",6845.59404
"dnk","2010",6383.72329
"dnk","2011",6889.40621
"dnk","2012",6376.87289
"dnk","2013",5717.84842
"dnk","2014",5510.84886
"dnk","2015",5885.12734
"dnk","2016",5912.71794
"dnk","2017",6319.942
"dnk","2018",6813.87922
"dnk","2019",6893.38406
"dnk","2020",5866.42065
"dnk","2021",6534.82172
"dnk","2022",6068.89351
"dnk","2023",NA
"est","1990",NA
"est","1991",NA
"est","1992",NA
"est","1993",NA
"est","1994",NA
"est","1995",NA
"est","1996",NA
"est","1997",NA
"est","1998",NA
"est","1999",NA
"est","2000",NA
"est","2001",NA
"est","2002",NA
"est","2003",NA
"est","2004",NA
"est","2005",NA
"est","2006",NA
"est","2007",NA
"est","2008",536.50752
"est","2009",503.41579
"est","2010",532.33432
"est","2011",350.01861
"est","2012",643.81476
"est","2013",826.53782
"est","2014",676.23332
"est","2015",621.52596
"est","2016",517.94814
"est","2017",627.13273
