country,year,foradl_lop_vard
bih,2014,81.8
bih,2015,77.2
bih,2016,69.1
bih,2017,74
bih,2018,81.1
bih,2019,89.4
bih,2020,91.7
bih,2021,99
bih,2022,116.7
bih,2023,139.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,29.5
mkd,2009,23.9
mkd,2010,23.4
mkd,2011,29.1
mkd,2012,30.4
mkd,2013,29.9
mkd,2014,32.4
mkd,2015,34.6
mkd,2016,38.7
mkd,2017,37.5
mkd,2018,39.6
mkd,2019,47.3
mkd,2020,55.4
mkd,2021,58.8
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,191.9
srb,2009,169.4
srb,2010,178.7
srb,2011,187.2
srb,2012,171.5
srb,2013,225.6
srb,2014,245.4
srb,2015,144.7
srb,2016,144
srb,2017,133.3
srb,2018,155.1
srb,2019,157.9
srb,2020,168.3
srb,2021,186.8
srb,2022,199.7
srb,2023,245.2
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
