country,year,foradl_lop_klader
lie,2003,
lie,2004,
lie,2005,
lie,2006,
lie,2007,
lie,2008,
lie,2009,
lie,2010,
lie,2011,
lie,2012,
lie,2013,
lie,2014,
lie,2015,
lie,2016,8.4
lie,2017,8.9
lie,2018,7.3
lie,2019,6.7
lie,2020,5.8
lie,2021,7.1
lie,2022,
lie,2023,
lie,2024,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,349.7
nor,2009,265
nor,2010,320.2
nor,2011,353.6
nor,2012,346.8
nor,2013,354.3
nor,2014,324.7
nor,2015,306.7
nor,2016,324.3
nor,2017,343.8
nor,2018,335.1
nor,2019,321.2
nor,2020,359.6
nor,2021,411.6
nor,2022,405.7
nor,2023,404.8
nor,2024,421.4
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,848.3
che,2009,744.8
che,2010,892.3
che,2011,1007.9
che,2012,960.2
che,2013,929.6
che,2014,954.5
che,2015,1037.2
che,2016,981.8
che,2017,967.8
che,2018,992.8
che,2019,1037.8
che,2020,928.8
che,2021,1024.2
che,2022,1348.5
che,2023,1550.8
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,5047.2
gbr,2009,4554.7
gbr,2010,5717.8
gbr,2011,4538.6
gbr,2012,6261.2
gbr,2013,6311.4
gbr,2014,7655.2
gbr,2015,8585.9
gbr,2016,7048.4
gbr,2017,7638
gbr,2018,7799.2
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,143.2
bih,2009,150.1
bih,2010,170
bih,2011,175.8
bih,2012,173.3
bih,2013,188.5
bih,2014,213.9
bih,2015,207.2
bih,2016,227.2
bih,2017,254.5
bih,2018,273.3
bih,2019,263.7
bih,2020,234
bih,2021,255.7
bih,2022,308
bih,2023,326.3
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,163.6
mkd,2009,158.3
mkd,2010,134.8
mkd,2011,166.8
mkd,2012,163.7
mkd,2013,179
mkd,2014,198.1
mkd,2015,201.4
mkd,2016,226.2
mkd,2017,251.6
mkd,2018,288.7
mkd,2019,282.5
mkd,2020,257.1
mkd,2021,249.4
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,717.4
srb,2009,531.3
srb,2010,520.4
srb,2011,592.5
srb,2012,562.4
srb,2013,577.8
srb,2014,548.8
srb,2015,550.7
srb,2016,577.3
srb,2017,580.5
srb,2018,598.6
srb,2019,578.5
srb,2020,535.8
srb,2021,540.7
srb,2022,539.8
srb,2023,548.9
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
