country,year,foradl_lop_kem
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,8.2
mkd,2009,9.1
mkd,2010,10
mkd,2011,10.3
mkd,2012,10.5
mkd,2013,10.7
mkd,2014,10.3
mkd,2015,11.5
mkd,2016,12.4
mkd,2017,12.3
mkd,2018,13.8
mkd,2019,15.6
mkd,2020,21.8
mkd,2021,22.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,180.5
srb,2009,125.8
srb,2010,177.6
srb,2011,199.7
srb,2012,187.3
srb,2013,254.3
srb,2014,226.1
srb,2015,247.6
srb,2016,281.3
srb,2017,328.5
srb,2018,329.7
srb,2019,304.6
srb,2020,315.2
srb,2021,379.7
srb,2022,414.7
srb,2023,384.7
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
