country,year,foradl_lop_gummi
srb,2006,
srb,2007,
srb,2008,714.8
srb,2009,574.6
srb,2010,567.2
srb,2011,600.8
srb,2012,612.2
srb,2013,577.3
srb,2014,578.7
srb,2015,626.4
srb,2016,700.4
srb,2017,789.9
srb,2018,843.2
srb,2019,875.1
srb,2020,833.5
srb,2021,951.3
srb,2022,1037.2
srb,2023,1086.4
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
