country,year,loner_lop_motor
nor,2005,
nor,2006,
nor,2007,
nor,2008,305.9
nor,2009,209.9
nor,2010,219.4
nor,2011,246.9
nor,2012,264.5
nor,2013,277.2
nor,2014,261.8
nor,2015,217.1
nor,2016,168.9
nor,2017,178.9
nor,2018,186.2
nor,2019,185.8
nor,2020,154.1
nor,2021,179.9
nor,2022,208.3
nor,2023,
nor,2024,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,
che,2009,
che,2010,
che,2011,287.2
che,2012,318.8
che,2013,307.2
che,2014,313.4
che,2015,354.5
che,2016,345.2
che,2017,337.5
che,2018,337.7
che,2019,364.6
che,2020,358.9
che,2021,365.1
che,2022,395.2
che,2023,
che,2024,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,9227.9
gbr,2009,6929.8
gbr,2010,8003.8
gbr,2011,8230.4
gbr,2012,9200
gbr,2013,9762.6
gbr,2014,11119.9
gbr,2015,11940.6
gbr,2016,10983.8
gbr,2017,10744.1
gbr,2018,11129.1
gbr,2019,
gbr,2020,
gbr,2021,
gbr,2022,
gbr,2023,
gbr,2024,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,20.3
bih,2009,16.7
bih,2010,18.5
bih,2011,21.9
bih,2012,22.9
bih,2013,24.9
bih,2014,27
bih,2015,29.2
bih,2016,31.1
bih,2017,35.4
bih,2018,38.4
bih,2019,40.9
bih,2020,39.7
bih,2021,46.4
bih,2022,57.2
bih,2023,65.4
bih,2024,
mne,2000,
mne,2001,
mne,2002,
mne,2003,
mne,2004,
mne,2005,
mne,2006,
mne,2007,
mne,2008,
mne,2009,
mne,2010,
mne,2011,
mne,2012,
mne,2013,
mne,2014,
mne,2015,
mne,2016,
mne,2017,
mne,2018,
mne,2019,
mne,2020,
mne,2021,
mne,2022,
mne,2023,
mne,2024,
mkd,2000,
mkd,2001,
mkd,2002,
mkd,2003,
mkd,2004,
mkd,2005,
mkd,2006,
mkd,2007,
mkd,2008,5.2
mkd,2009,3.9
mkd,2010,3.1
mkd,2011,4
mkd,2012,5.7
mkd,2013,14.4
mkd,2014,38
mkd,2015,50.5
mkd,2016,69.5
mkd,2017,91.2
mkd,2018,127.6
mkd,2019,140.7
mkd,2020,141.8
mkd,2021,146.6
mkd,2022,
mkd,2023,
mkd,2024,
alb,2000,
alb,2001,
alb,2002,
alb,2003,
alb,2004,
alb,2005,
alb,2006,
alb,2007,
alb,2008,
alb,2009,
alb,2010,
alb,2011,
alb,2012,
alb,2013,
alb,2014,
alb,2015,
alb,2016,
alb,2017,
alb,2018,
alb,2019,
alb,2020,
alb,2021,
alb,2022,
alb,2023,
alb,2024,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,111
srb,2009,98.4
srb,2010,81.5
srb,2011,99.9
srb,2012,121.9
srb,2013,155.5
srb,2014,148.4
srb,2015,160.6
srb,2016,171.3
srb,2017,206.9
srb,2018,278.3
srb,2019,321.2
srb,2020,422.8
srb,2021,564
srb,2022,720
srb,2023,891.1
srb,2024,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,2592.3
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
tur,2024,
kos,2000,
kos,2001,
kos,2002,
kos,2003,
kos,2004,
kos,2005,
kos,2006,
kos,2007,
kos,2008,
kos,2009,
kos,2010,
kos,2011,
kos,2012,
kos,2013,
kos,2014,
kos,2015,
kos,2016,
kos,2017,
kos,2018,
kos,2019,
kos,2020,
kos,2021,
kos,2022,
kos,2023,
kos,2024,
