country,year,foradl_lop_dator
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,91992
eu_three,2009,75987.1
eu_three,2010,83207.1
eu_three,2011,84615.4
eu_three,2012,80265.5
eu_three,2013,82320.1
eu_three,2014,83724.4
eu_three,2015,
eu_three,2016,
eu_three,2017,
eu_three,2018,
eu_three,2019,
eu_three,2020,
eu_three,2021,
eu_three,2022,
eu_three,2023,
eu_three,2024,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,1601
bel,2009,1038.9
bel,2010,1124.1
bel,2011,1264.2
bel,2012,1310.7
bel,2013,1270.7
bel,2014,1315
bel,2015,1269.3
bel,2016,1458.8
bel,2017,1533.9
bel,2018,1446.4
bel,2019,1536.6
bel,2020,1335.3
bel,2021,1325.9
bel,2022,1509.8
bel,2023,1700.5
bel,2024,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,92.7
bgr,2009,86.6
bgr,2010,42.6
bgr,2011,46.7
bgr,2012,59.4
bgr,2013,48.6
bgr,2014,83.7
bgr,2015,116.3
bgr,2016,123
bgr,2017,146.4
bgr,2018,218.3
bgr,2019,246.1
bgr,2020,289.3
bgr,2021,393.2
bgr,2022,430.9
bgr,2023,473.6
bgr,2024,
cze,2000,
cze,2001,
cze,2002,
cze,2003,
cze,2004,
cze,2005,
cze,2006,
cze,2007,
cze,2008,1842.6
cze,2009,1568.4
cze,2010,1740.4
cze,2011,1904.4
cze,2012,2220.5
cze,2013,2058.3
cze,2014,2116.7
cze,2015,2305.9
cze,2016,2485.7
cze,2017,2795.6
cze,2018,3026.4
cze,2019,2667.7
cze,2020,2887
cze,2021,2313.3
cze,2022,2995.8
cze,2023,3212.6
cze,2024,
dnk,2000,
dnk,2001,
dnk,2002,
dnk,2003,
dnk,2004,
dnk,2005,
dnk,2006,
dnk,2007,
dnk,2008,1930.1
dnk,2009,1801.5
dnk,2010,1987.7
dnk,2011,2049.9
dnk,2012,2089.6
dnk,2013,2125.2
dnk,2014,2058.8
dnk,2015,2124.9
dnk,2016,2226.6
dnk,2017,2569.9
dnk,2018,2509.9
dnk,2019,2598.9
dnk,2020,2299.4
dnk,2021,2793.3
dnk,2022,2826.1
dnk,2023,
dnk,2024,
deu,2000,
deu,2001,
deu,2002,
deu,2003,
deu,2004,
deu,2005,
deu,2006,
deu,2007,
deu,2008,32329
deu,2009,25108
deu,2010,30299
deu,2011,32850
deu,2012,32605
deu,2013,33933
deu,2014,35400
deu,2015,39594
deu,2016,42079
deu,2017,42124
deu,2018,45519
deu,2019,46082
deu,2020,44190
deu,2021,47005
deu,2022,49016
deu,2023,
deu,2024,
est,2000,
est,2001,
est,2002,
est,2003,
est,2004,
est,2005,
est,2006,
est,2007,
est,2008,135
est,2009,94.4
est,2010,131.4
est,2011,207.3
est,2012,158.4
est,2013,174.1
est,2014,189.5
est,2015,158.3
est,2016,176.8
est,2017,193.4
est,2018,232.7
est,2019,262
est,2020,248.1
est,2021,248.1
est,2022,306.9
est,2023,296
est,2024,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3118.7
irl,2009,3455.8
irl,2010,3165.8
irl,2011,2827.9
irl,2012,2895.9
irl,2013,2740.5
irl,2014,2766.7
irl,2015,
irl,2016,
irl,2017,
irl,2018,
irl,2019,
irl,2020,
irl,2021,
irl,2022,
irl,2023,
irl,2024,
grc,2000,
grc,2001,
grc,2002,
grc,2003,
grc,2004,
grc,2005,
grc,2006,
grc,2007,
grc,2008,233
grc,2009,173.4
grc,2010,247.8
grc,2011,175.9
grc,2012,213
grc,2013,185
grc,2014,198.5
grc,2015,199.6
grc,2016,227.2
grc,2017,231
grc,2018,256.8
grc,2019,234
grc,2020,272.9
grc,2021,419.1
grc,2022,467
grc,2023,496.6
grc,2024,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,2697
esp,2009,2403
esp,2010,2123
esp,2011,2073
esp,2012,1950
esp,2013,1849
esp,2014,1621
esp,2015,1554
esp,2016,1559
esp,2017,1662
esp,2018,1756
esp,2019,1898
esp,2020,1715
esp,2021,1965
esp,2022,2169
esp,2023,
esp,2024,
fra,2000,
fra,2001,
fra,2002,
fra,2003,
fra,2004,
fra,2005,
fra,2006,
fra,2007,
fra,2008,10273.6
fra,2009,9167
fra,2010,9671.8
fra,2011,9412.3
fra,2012,9368.3
fra,2013,9479.9
fra,2014,9448.3
fra,2015,9697.5
fra,2016,9867.3
fra,2017,9955.3
fra,2018,9972
fra,2019,10879.1
fra,2020,10123.2
fra,2021,10869.5
fra,2022,11514.6
fra,2023,12914.5
fra,2024,
hrv,2000,
hrv,2001,
hrv,2002,
hrv,2003,
hrv,2004,
hrv,2005,
hrv,2006,
hrv,2007,
hrv,2008,315.7
hrv,2009,291.7
hrv,2010,276.7
hrv,2011,249.3
hrv,2012,219.3
hrv,2013,175.5
hrv,2014,170.8
hrv,2015,185.3
hrv,2016,225.7
hrv,2017,217.3
hrv,2018,234.1
hrv,2019,195.5
hrv,2020,208
hrv,2021,124.3
hrv,2022,144.8
hrv,2023,171.4
hrv,2024,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8369.2
ita,2009,7462
ita,2010,8197.2
ita,2011,8638
ita,2012,8425.8
ita,2013,7984.7
ita,2014,8019.6
ita,2015,8311.9
ita,2016,8067.8
ita,2017,8292.4
ita,2018,8414.7
ita,2019,8683.5
ita,2020,8915.4
ita,2021,10275.6
ita,2022,10980.7
ita,2023,12535.5
ita,2024,
cyp,2000,
cyp,2001,
cyp,2002,
cyp,2003,
cyp,2004,
cyp,2005,
cyp,2006,
cyp,2007,
cyp,2008,11.9
cyp,2009,9
cyp,2010,4.8
cyp,2011,2.2
cyp,2012,2.2
cyp,2013,12.7
cyp,2014,19.9
cyp,2015,26.9
cyp,2016,8.9
cyp,2017,15.3
cyp,2018,35
cyp,2019,37.8
cyp,2020,33.9
cyp,2021,50.3
cyp,2022,20.9
cyp,2023,
cyp,2024,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,59.9
lva,2009,39.9
lva,2010,41.6
lva,2011,66.1
lva,2012,60.7
lva,2013,94.5
lva,2014,58.1
lva,2015,146
lva,2016,134.6
lva,2017,149.8
lva,2018,112.1
lva,2019,105.2
lva,2020,152.8
lva,2021,217.9
lva,2022,251.3
lva,2023,
lva,2024,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,116.2
ltu,2009,117.8
ltu,2010,137.8
ltu,2011,128.8
ltu,2012,134.7
ltu,2013,124.7
ltu,2014,135.1
ltu,2015,159
ltu,2016,175.6
ltu,2017,217.7
ltu,2018,214.4
ltu,2019,262.9
ltu,2020,269.7
ltu,2021,417.7
ltu,2022,434.5
ltu,2023,
ltu,2024,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,
lux,2009,
lux,2010,
lux,2011,
lux,2012,
lux,2013,
lux,2014,
lux,2015,
lux,2016,
lux,2017,
lux,2018,
lux,2019,
lux,2020,
lux,2021,
lux,2022,
lux,2023,
lux,2024,
hun,2000,
hun,2001,
hun,2002,
hun,2003,
hun,2004,
hun,2005,
hun,2006,
hun,2007,
hun,2008,1648
hun,2009,1443.4
hun,2010,1491
hun,2011,1964.3
hun,2012,1605.7
hun,2013,1685.7
hun,2014,1694
hun,2015,1775.5
hun,2016,1862.5
hun,2017,2205.3
hun,2018,2169
hun,2019,2223.9
hun,2020,2079.3
hun,2021,2053.8
hun,2022,2225.4
hun,2023,2986.2
hun,2024,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,
mlt,2009,
mlt,2010,
mlt,2011,
mlt,2012,
mlt,2013,
mlt,2014,
mlt,2015,
mlt,2016,
mlt,2017,
mlt,2018,
mlt,2019,
mlt,2020,
mlt,2021,
mlt,2022,
mlt,2023,
mlt,2024,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,5097
nld,2009,4869
nld,2010,4958
nld,2011,4615
nld,2012,4499
nld,2013,4560
nld,2014,4630
nld,2015,5268
nld,2016,4526
nld,2017,4703
nld,2018,5396
nld,2019,5451
nld,2020,5219
nld,2021,5504
nld,2022,7008
nld,2023,7559
nld,2024,
aut,2000,
aut,2001,
aut,2002,
aut,2003,
aut,2004,
aut,2005,
aut,2006,
aut,2007,
aut,2008,2511.8
aut,2009,2320.5
aut,2010,2383.5
aut,2011,2832.9
aut,2012,2891.1
aut,2013,3025.2
aut,2014,3032
aut,2015,3029.8
aut,2016,3429.6
aut,2017,3619.7
aut,2018,4013.1
aut,2019,4248.4
aut,2020,3952
aut,2021,4558.7
aut,2022,5049.5
aut,2023,5045
aut,2024,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1687.3
